source	interaction	target
CCNC	upregulates-expression	ADIPOQ
HLF	downregulates-expression	RUNX1
NR2C1	downregulates-expression	KLK3
NR2C2	downregulates-expression	KLK3
SMAD2	upregulates-expression	GSC
EP300	upregulates-expression	NR1D1
BCL6	downregulates-expression	LITAF
TRIM28	downregulates-expression	SIRT1
ANKRD1	upregulates-expression	SMAD4
ANKRD1	upregulates-expression	SMAD2
ANKRD1	upregulates-expression	SMAD3
SMAD3	upregulates-expression	FST
HIST3H2BB	upregulates-expression	MYC
NR2F2	downregulates-expression	TERT
FOXO1	upregulates-expression	BCL6
FOXO3	upregulates-expression	BCL6
FOXO4	upregulates-expression	BCL6
PPARD	downregulates-expression	HSD11B2
ZNF382	downregulates-expression	MYC
TP63	upregulates-expression	TBXT
SOX2	upregulates-expression	LHX3
NR3C1	upregulates-expression	RPS6KA3
EZH2	downregulates-expression	PEBP1
FSHB	upregulates-expression	SMAD4
HNF1A	upregulates-expression	ALDOB
MNAT1	upregulates-expression	FANCI
ESR1	upregulates-expression	ZEB1
TP73	upregulates-expression	TUBA1A
PIM1	upregulates-expression	ID2
MECP2	downregulates-expression	IRAK1
CDK9	upregulates-expression	FANCD2
CDK7	upregulates-expression	FANCD2
RELA	downregulates-expression	LTC4S
MITF	upregulates-expression	ACP5
ESRRA	downregulates-expression	NR2F1
ESRRA	downregulates-expression	NR2F6
ATF4	upregulates-expression	HERPUD1
EGR1	downregulates-expression	AR
GABPA	upregulates-expression	TWNK
CDK8	upregulates-expression	ADIPOQ
THBS1	upregulates-expression	JUN
GATA3	upregulates-expression	TFF1
GATA3	upregulates-expression	TFF3
PPARA	upregulates-expression	TIAM2
ELF3	upregulates-expression	TIMP3
HIST1H1B	upregulates-expression	HBP1
CDKN2A	downregulates-expression	CDKN1A
TOB1	downregulates-expression	IL2
FOXO4	downregulates-expression	HIF1A
STAT1	upregulates-expression	HES1
HES6	downregulates-expression	ASCL1
TFAP2A	downregulates-expression	HSD17B1
HES1	downregulates-expression	ASCL1
GLI3	upregulates-expression	SMO
REL	downregulates-expression	KLK3
SP1	upregulates-expression	PPP2R2B
PAX8	upregulates-expression	WT1
SP1	upregulates-expression	MMRN1
PER2	downregulates-expression	TWIST1
GATA3	downregulates-expression	LOX
FOXA1	upregulates-expression	SOD1
TCF7L2	upregulates-expression	ZCCHC12
GLS2	upregulates-expression	SP1
CEBPB	upregulates-expression	IGHG1
POU4F1	upregulates-expression	CDKN1A
AGO3	downregulates-expression	CDKN2A
AGO4	downregulates-expression	CDKN2A
NCOA3	upregulates-expression	CCND1
AGO1	downregulates-expression	CDKN2A
GATA3	downregulates-expression	CXCL1
HNF4A	upregulates-expression	C1QTNF5
ARNT	upregulates-expression	CXCL12
EP300	upregulates-expression	ANGPTL4
NFIC	downregulates-expression	ITGA5
CTSE	upregulates-expression	SPI1
IL4	upregulates-expression	F13A1
SPI1	upregulates-expression	CTSS
DUSP6	upregulates-expression	CTNNB1
SP3	downregulates-expression	TERT
GATA1	upregulates-expression	BST2
JAK2	upregulates-expression	ITGA3
MYC	downregulates-expression	NDRG1
MYC	downregulates-expression	NDRG2
AKAP4	downregulates-expression	GLI2
IL2RG	upregulates-expression	SOCS3
FOXO1	upregulates-expression	SOD2
IL2RA	upregulates-expression	SOCS3
FOXO3	upregulates-expression	SOD2
SOD2	upregulates-expression	FOXO3
IL2RB	upregulates-expression	SOCS3
FOXO4	upregulates-expression	SOD2
SP1	upregulates-expression	PDX1
PDX1	upregulates-expression	SP1
LIN9	downregulates-expression	TOP2A
SYNM	downregulates-expression	GLI1
E2F1	downregulates-expression	BRCA1
E2F4	downregulates-expression	BRCA1
BRCA1	downregulates-expression	E2F4
E2F6	downregulates-expression	BRCA1
BRCA1	downregulates-expression	E2F6
KLF10	upregulates-expression	SERPINE1
EP300	upregulates-expression	IVL
LRP1	downregulates-expression	CTNNB1
CREB1	upregulates-expression	MITF
TAF9	upregulates-expression	CDK4
XBP1	upregulates-expression	TATDN2
AHR	upregulates-expression	SMAD2
AHR	upregulates-expression	SMAD3
AHR	upregulates-expression	SMAD4
TFAP2A	downregulates-expression	NOP2
STAT1	upregulates-expression	HEY1
ATF2	upregulates-expression	CCNA2
TP63	upregulates-expression	TCF7L1
IGF2BP1	downregulates-expression	MAPK4
SKIL	downregulates-expression	SMAD7
PTTG1	upregulates-expression	CCNB1
MLX	upregulates-expression	PKLR
E2F1	downregulates-expression	VEGFA
GPS2	downregulates-expression	ABCA1
SOX2	upregulates-expression	FOXD3
MAX	downregulates-expression	NDRG1
MAX	downregulates-expression	NDRG2
PBX1	upregulates-expression	VCP
TP63	downregulates-expression	ID2
SHOX	upregulates-expression	FGFR3
PTGDR	upregulates-expression	DHFR
SHC1	upregulates-expression	CCND3
CARM1	upregulates-expression	ACSL1
SREBF1	upregulates-expression	NR0B2
FOXD3	upregulates-expression	SPP1
NR0B1	downregulates-expression	ESRRG
MYD88	upregulates-expression	STAT5A
MYD88	upregulates-expression	STAT5B
TP53	upregulates-expression	CYFIP2
SNW1	upregulates-expression	ACTA2
TP53	upregulates-expression	BTG2
RUNX3	downregulates-expression	MYC
MYC	upregulates-expression	GPAM
STAT5A	upregulates-expression	SOCS1
STAT5A	upregulates-expression	SOCS2
STAT5B	upregulates-expression	SOCS1
STAT5B	upregulates-expression	SOCS2
PDIA2	upregulates-expression	TFF1
BRCA1	upregulates-expression	DDIT3
SIRT1	upregulates-expression	ACAN
NR3C1	upregulates-expression	PCK2
ATF2	upregulates-expression	CCND1
ATF5	upregulates-expression	CCND3
STAT3	downregulates-expression	TNFRSF10B
E2F1	upregulates-expression	RRM1
E2F1	upregulates-expression	RRM2
E2F3	upregulates-expression	RRM1
E2F3	upregulates-expression	RRM2
EP300	upregulates-expression	JUN
CXCR4	upregulates-expression	GLI1
JUN	downregulates-expression	TP53
ELK1	upregulates-expression	EIF2AK1
SP1	upregulates-expression	GJA1
DNAJB9	downregulates-expression	GLI1
SRY	downregulates-expression	KLK3
UHRF1	downregulates-expression	PPARG
SP3	downregulates-expression	TFF2
MEF2A	upregulates-expression	JUN
MEF2C	upregulates-expression	JUN
RUNX3	downregulates-expression	CFLAR
JUN	upregulates-expression	MEF2D
HELZ2	upregulates-expression	CD36
MEF2D	upregulates-expression	JUN
MED15	upregulates-expression	LPL
MED16	upregulates-expression	LPL
MED17	upregulates-expression	LPL
MED18	upregulates-expression	LPL
MED19	upregulates-expression	LPL
STAT3	downregulates-expression	CTGF
MED10	upregulates-expression	LPL
MED11	upregulates-expression	LPL
MED12	upregulates-expression	LPL
MED13	upregulates-expression	LPL
MED14	upregulates-expression	LPL
YAP1	upregulates-expression	PML
SP1	upregulates-expression	HIST2H4A
GADD45B	upregulates-expression	RUNX2
MED30	upregulates-expression	LPL
MED31	upregulates-expression	LPL
MED26	upregulates-expression	LPL
MED27	upregulates-expression	LPL
MED28	upregulates-expression	LPL
MED29	upregulates-expression	LPL
MED20	upregulates-expression	LPL
MED21	upregulates-expression	LPL
MED22	upregulates-expression	LPL
MED23	upregulates-expression	LPL
MED24	upregulates-expression	LPL
MED25	upregulates-expression	LPL
KLF14	downregulates-expression	TGFBR2
TAB2	downregulates-expression	GFAP
CARM1	upregulates-expression	CPT2
MECP2	upregulates-expression	MET
IL12RB1	upregulates-expression	GZMA
IL12RB1	upregulates-expression	GZMB
IL12RB2	upregulates-expression	GZMA
IL12RB2	upregulates-expression	GZMB
UBE2E1	upregulates-expression	CXCL8
UBE2D1	upregulates-expression	CXCL8
YBX1	upregulates-expression	MET
B4GALT1	upregulates-expression	E2F1
SP1	upregulates-expression	RANBP1
CITED2	downregulates-expression	MMP1
CDC25A	downregulates-expression	CDKN1A
FOS	upregulates-expression	HSPH1
FOSL2	upregulates-expression	BCL6
NELFCD	upregulates-expression	FANCI
GPR64	upregulates-expression	CTNNB1
CCNH	upregulates-expression	FANCD2
CCNK	upregulates-expression	FANCD2
JUNB	upregulates-expression	CSF2
XBP1	upregulates-expression	EXTL1
XBP1	upregulates-expression	EXTL2
XBP1	upregulates-expression	EXTL3
MZF1	downregulates-expression	MMP2
PROX1	downregulates-expression	AKT2
L3MBTL1	downregulates-expression	RUNX1
TP53	upregulates-expression	TGFA
TGFA	upregulates-expression	TP53
MED31	upregulates-expression	ANGPTL4
TP63	upregulates-expression	GADD45A
GATA6	upregulates-expression	SULT2A1
MYC	downregulates-expression	GATA1
MED13	upregulates-expression	ANGPTL4
MED14	upregulates-expression	ANGPTL4
MED15	upregulates-expression	ANGPTL4
MED16	upregulates-expression	ANGPTL4
MED10	upregulates-expression	ANGPTL4
MAX	upregulates-expression	GPAM
MED11	upregulates-expression	ANGPTL4
GATA1	downregulates-expression	MYB
MYB	downregulates-expression	GATA1
MED12	upregulates-expression	ANGPTL4
MED17	upregulates-expression	ANGPTL4
MED18	upregulates-expression	ANGPTL4
MED19	upregulates-expression	ANGPTL4
MED24	upregulates-expression	ANGPTL4
MED25	upregulates-expression	ANGPTL4
MED26	upregulates-expression	ANGPTL4
MED27	upregulates-expression	ANGPTL4
MED20	upregulates-expression	ANGPTL4
MED21	upregulates-expression	ANGPTL4
MED22	upregulates-expression	ANGPTL4
MED23	upregulates-expression	ANGPTL4
MED28	upregulates-expression	ANGPTL4
MED29	upregulates-expression	ANGPTL4
RXRA	upregulates-expression	IL2RG
MED30	upregulates-expression	ANGPTL4
RXRA	upregulates-expression	IL2RA
RXRA	upregulates-expression	IL2RB
EP300	upregulates-expression	LPL
REST	upregulates-expression	GLRA1
IL18R1	upregulates-expression	GADD45G
IL18R1	upregulates-expression	GADD45B
WWTR1	upregulates-expression	LTBR
HIF1A	upregulates-expression	EGLN1
HIF1A	upregulates-expression	EGLN3
PPARG	downregulates-expression	CCNE1
PPARG	downregulates-expression	CCND1
SP1	upregulates-expression	PCK1
PCK1	upregulates-expression	SP1
JUN	upregulates-expression	PLAT
NR5A1	upregulates-expression	PBX1
TGS1	upregulates-expression	CD36
BNIP3	upregulates-expression	E2F1
PPAT	upregulates-expression	MYC
E2F1	upregulates-expression	ERCC5
HDAC1	downregulates-expression	SNAI2
HDAC2	downregulates-expression	SNAI2
E2F1	upregulates-expression	ERCC1
ETS2	upregulates-expression	CHRNE
KLF8	downregulates-expression	VIM
NFYA	upregulates-expression	IDI1
NFYB	upregulates-expression	IDI1
NFYC	upregulates-expression	IDI1
NFKB1	downregulates-expression	EGR1
EPAS1	upregulates-expression	BHLHE40
IL2	upregulates-expression	GZMB
NR3C1	downregulates-expression	KRT5
CDX2	upregulates-expression	TFF3
NR3C1	downregulates-expression	RUNX2
AGO1	downregulates-expression	NOTCH1
AGO1	downregulates-expression	NOTCH2
AGO2	downregulates-expression	NOTCH1
AGO3	downregulates-expression	NOTCH1
AGO1	downregulates-expression	NOTCH3
AGO2	downregulates-expression	NOTCH2
AGO3	downregulates-expression	NOTCH2
AGO4	downregulates-expression	NOTCH1
AGO1	downregulates-expression	NOTCH4
AGO2	downregulates-expression	NOTCH3
TCF4	upregulates-expression	CNTNAP2
AGO3	downregulates-expression	NOTCH3
AGO4	downregulates-expression	NOTCH2
AGO2	downregulates-expression	NOTCH4
AGO3	downregulates-expression	NOTCH4
AGO4	downregulates-expression	NOTCH3
AGO4	downregulates-expression	NOTCH4
IGH@	downregulates-expression	RBPJ
STAT3	upregulates-expression	ZEB1
PPARG	downregulates-expression	SLC2A4
STAT1	downregulates-expression	FGFR3
MTA1	downregulates-expression	MTA3
KAT5	downregulates-expression	GMPS
BRCA1	upregulates-expression	IRF7
BRCA1	upregulates-expression	IRF9
YY1	upregulates-expression	APH1A
APH1A	upregulates-expression	YY1
KMT2E	upregulates-expression	GP1BA
KMT2A	upregulates-expression	GP1BA
KMT2B	upregulates-expression	GP1BA
HNF1A	upregulates-expression	FOXA3
KMT2C	upregulates-expression	GP1BA
KMT2D	upregulates-expression	GP1BA
PPID	upregulates-expression	MYC
PPIF	upregulates-expression	MYC
TXNIP	downregulates-expression	FOXO1
FOXO1	downregulates-expression	TXNIP
FAM189A2	upregulates-expression	CTNNB1
NFATC2	upregulates-expression	MDM2
KLF4	downregulates-expression	VDR
TP63	upregulates-expression	MRE11
ATM	downregulates-expression	TNFRSF10B
SERPINB5	upregulates-expression	ETS1
PANK1	upregulates-expression	PPARA
EPAS1	upregulates-expression	FXN
FOXA2	upregulates-expression	HNF4A
TGS1	upregulates-expression	ALAS1
SREBF1	upregulates-expression	MVD
SREBF2	upregulates-expression	MVD
SREBF1	upregulates-expression	MVK
SREBF2	upregulates-expression	MVK
SOX9	downregulates-expression	PRAME
HELZ2	upregulates-expression	ACOX1
KLF4	upregulates-expression	CDH5
KLF8	upregulates-expression	CDH1
KLF4	upregulates-expression	CDH1
TP53	downregulates-expression	MYC
E2F1	upregulates-expression	CTNNBIP1
NFE2L2	upregulates-expression	ASF1A
SMAD7	upregulates-expression	MYC
PPARD	upregulates-expression	TIMP1
HIPK2	upregulates-expression	CDKN1A
RBL2	downregulates-expression	RBL1
THRAP3	downregulates-expression	LEP
TCF7L2	upregulates-expression	TBXT
EGR1	upregulates-expression	RBL2
ETS1	upregulates-expression	PARP1
ATRX	downregulates-expression	HBA1
ATRX	downregulates-expression	HBA2
VHL	downregulates-expression	TFRC
IGF2	upregulates-expression	CEBPB
MEF2A	upregulates-expression	MMP10
IGF1	upregulates-expression	CEBPA
CEBPA	upregulates-expression	IGF1
CDX2	upregulates-expression	KLF4
IGF2	upregulates-expression	CEBPA
IGF1	upregulates-expression	CEBPB
YY1	upregulates-expression	PCNA
CEBPB	upregulates-expression	IGHE
TP53	downregulates-expression	MET
MET	upregulates-expression	SMAD2
MET	upregulates-expression	SMAD3
MET	upregulates-expression	SMAD4
SMAD7	upregulates-expression	MET
WT1	downregulates-expression	TERT
ESR1	upregulates-expression	SERPINE1
MAPK11	upregulates-expression	NOS2
MAPK14	upregulates-expression	NOS2
CDK6	upregulates-expression	KLK3
TCF7	upregulates-expression	TCF7L2
TCF7L2	upregulates-expression	TCF7
NFE2L2	upregulates-expression	TSPAN7
MYC	downregulates-expression	ZFP36L1
ZFP36L1	downregulates-expression	MYC
RUNX1	downregulates-expression	NF1
FOXA2	upregulates-expression	NKX2-1
SPI1	upregulates-expression	CYBB
NR4A1	upregulates-expression	POMC
NFE2L2	upregulates-expression	WNT5A
NOTCH3	upregulates-expression	WWC1
IL37	upregulates-expression	PTPN20
IL37	upregulates-expression	PTPN23
SREBF1	upregulates-expression	LSS
SREBF2	upregulates-expression	LSS
IL37	upregulates-expression	PTPN18
EDN1	downregulates-expression	MMP1
RARA	upregulates-expression	CEBPE
IL37	upregulates-expression	PTPN14
IL37	upregulates-expression	PTPN11
IL37	upregulates-expression	PTPN12
IL37	upregulates-expression	PTPN13
NFATC1	upregulates-expression	IL2RA
NFATC2	upregulates-expression	IL2RA
NFATC3	upregulates-expression	IL2RA
TFDP1	downregulates-expression	MCL1
TFDP2	downregulates-expression	MCL1
NFYA	upregulates-expression	DDIT3
NFYB	upregulates-expression	DDIT3
NFYC	upregulates-expression	DDIT3
AKT1	upregulates-expression	MCL1
ELOA3D	upregulates-expression	ATR
ELOA3D	upregulates-expression	ATM
ELOA3B	upregulates-expression	ATR
ELOA3B	upregulates-expression	ATM
NANOG	upregulates-expression	FGF2
NANOG	upregulates-expression	FGF4
EP300	upregulates-expression	WT1
IL2	upregulates-expression	PRF1
NFKBIA	downregulates-expression	CTNNB1
TCF4	upregulates-expression	CLEC4C
NKX2-5	downregulates-expression	MEF2C
TP63	upregulates-expression	KRT14
NAB2	upregulates-expression	RBL2
CREB1	downregulates-expression	SNAI1
CREB1	downregulates-expression	SNAI2
KLF4	upregulates-expression	CD14
TP63	upregulates-expression	KRT5
KLF2	upregulates-expression	CCR5
TGS1	upregulates-expression	CYP1A1
ESRRA	upregulates-expression	ALAS1
WT1	upregulates-expression	CXXC5
TPM1	downregulates-expression	MYC
HEY1	upregulates-expression	OCLN
IL4	upregulates-expression	LAMA5
HELZ2	upregulates-expression	CYP7A1
BEST1	upregulates-expression	MITF
MITF	upregulates-expression	BEST1
HELZ2	upregulates-expression	ACSL1
EP300	upregulates-expression	GFAP
TST	upregulates-expression	GLI1
SP1	downregulates-expression	P2RX4
PPARA	upregulates-expression	TRIB3
APP	downregulates-expression	LEF1
IL2RG	upregulates-expression	TNFRSF9
IL2RA	upregulates-expression	TNFRSF4
IL2RB	upregulates-expression	TNFRSF4
IL2RA	upregulates-expression	TNFRSF9
IL2RG	upregulates-expression	TNFRSF4
IL2RB	upregulates-expression	TNFRSF9
TCF7	upregulates-expression	CDX1
RELA	upregulates-expression	BIRC5
RELA	upregulates-expression	BIRC2
RELA	upregulates-expression	BIRC3
HELZ2	upregulates-expression	CPT2
SREBF2	downregulates-expression	ABCG8
SREBF2	downregulates-expression	ABCG5
TGS1	upregulates-expression	TXNRD1
PPARA	upregulates-expression	SERPINE1
ABCA1	downregulates-expression	SREBF2
SREBF2	downregulates-expression	ABCA1
TNC	upregulates-expression	GLI2
RELA	upregulates-expression	EBI3
EGR1	upregulates-expression	IGF2
IGF2	upregulates-expression	EGR1
SMC1A	upregulates-expression	MYC
GATA1	upregulates-expression	CDC6
IL4	downregulates-expression	CCL2
NFE2L2	upregulates-expression	CABYR
PTK2	upregulates-expression	FOS
SUZ12	downregulates-expression	TWIST1
SPI1	upregulates-expression	ELANE
TFAP4	downregulates-expression	MDM2
HMGA1	upregulates-expression	SLC2A3
ILF3	upregulates-expression	BIRC5
GATA3	upregulates-expression	CD8A
SALL4	downregulates-expression	SALL1
NR0B1	downregulates-expression	CAMP
NFKB1	upregulates-expression	PTGES
MEF2D	upregulates-expression	NR4A1
FKBP4	upregulates-expression	MYC
XBP1	upregulates-expression	GOSR2
MYC	upregulates-expression	PTMA
INS	downregulates-expression	ALAS1
NFKB1	upregulates-expression	PTGDS
PIAS1	upregulates-expression	MYC
MTA1	upregulates-expression	ARNTL
FOSL1	downregulates-expression	DCN
MYC	downregulates-expression	TSC2
KAT2A	upregulates-expression	BBC3
TP53	upregulates-expression	NDRG1
GATA1	upregulates-expression	FCER1A
GATA2	upregulates-expression	FCER1A
TBL1XR1	upregulates-expression	NPAS2
HDAC3	downregulates-expression	CDKN2A
HDAC4	downregulates-expression	CDKN2A
FOXA2	upregulates-expression	BDH1
HDAC1	downregulates-expression	CDKN1A
NFKB1	upregulates-expression	NCAM1
HDAC2	downregulates-expression	CDKN1A
NR3C1	downregulates-expression	KRT14
HDAC4	downregulates-expression	CDKN1A
NR3C1	downregulates-expression	KRT17
HDAC6	downregulates-expression	CDKN1A
HDAC1	downregulates-expression	SERPINE1
MAX	downregulates-expression	TSC2
BMP1	downregulates-expression	GLI2
BMP7	downregulates-expression	GLI2
USF1	upregulates-expression	HMOX1
USF2	upregulates-expression	HMOX1
AR	upregulates-expression	ARG1
AR	upregulates-expression	ARG2
MAX	upregulates-expression	HSPA4
JUND	upregulates-expression	CCNA2
JUNB	upregulates-expression	CCNA2
HNF4A	upregulates-expression	LDLR
PCNA	upregulates-expression	GLI2
HIF1A	downregulates-expression	CCND1
MAPK1	upregulates-expression	PLAUR
MAPK3	upregulates-expression	PLAUR
TP53	downregulates-expression	XPO1
ARNT	upregulates-expression	MCL1
HLTF	upregulates-expression	OCA2
ID1	downregulates-expression	ZNF148
HDAC1	downregulates-expression	EIF2AK1
ILF3	downregulates-expression	HLA-DRA
SMAD3	upregulates-expression	IL5
SMAD4	upregulates-expression	IL5
RBBP4	downregulates-expression	CDC25A
MECP2	upregulates-expression	SST
SP1	upregulates-expression	PMVK
EDNRA	downregulates-expression	MMP1
PLTP	upregulates-expression	NR1H3
SOS1	upregulates-expression	CCND3
TP73	upregulates-expression	GATA1
PLTP	upregulates-expression	NR1H2
JUND	upregulates-expression	CCND1
NR3C1	downregulates-expression	TP53
LEF1	upregulates-expression	TBXT
MAX	upregulates-expression	HSPD1
RXRA	upregulates-expression	HSD17B2
EPAS1	upregulates-expression	CA9
PPARA	downregulates-expression	CYP2C9
IRF8	upregulates-expression	SLC11A1
TNFSF10	upregulates-expression	FOXO3
FOXO3	upregulates-expression	TNFSF10
FOXO4	upregulates-expression	TNFSF10
NFE2L2	upregulates-expression	RBM19
IDO1	upregulates-expression	CTNNB1
TNFSF10	upregulates-expression	FOXO1
FOXO1	upregulates-expression	TNFSF10
L1CAM	upregulates-expression	CTNNB1
HBP1	downregulates-expression	DNMT1
FGFR3	upregulates-expression	SPP1
FGFR2	upregulates-expression	SPP1
MECP2	upregulates-expression	GAMT
HSPH1	upregulates-expression	MYC
TP53BP2	upregulates-expression	E2F3
E2F1	upregulates-expression	TP53BP2
TP53BP2	upregulates-expression	E2F1
TP73	upregulates-expression	TP53AIP1
TP53BP2	upregulates-expression	E2F2
NCOR2	downregulates-expression	HES1
HSPE1	upregulates-expression	MYC
NCOR1	downregulates-expression	HES1
HMGA1	upregulates-expression	KL
TP53	upregulates-expression	TP53AIP1
GATA3	downregulates-expression	IL12RB2
EP300	upregulates-expression	NR4A1
SMAD1	upregulates-expression	ID1
ID3	upregulates-expression	SMAD1
SMAD4	upregulates-expression	ID1
SMAD5	upregulates-expression	ID1
ID3	upregulates-expression	SMAD5
SMAD9	upregulates-expression	ID1
MECP2	upregulates-expression	GAD2
SMAD3	upregulates-expression	ANGPTL4
MYC	upregulates-expression	HSPD1
HSPD1	upregulates-expression	MYC
MAX	upregulates-expression	PTMA
TCF7	upregulates-expression	LEF1
